TableCount	1
TABLE 1 ROWS 156 COLS 9
TT	Tên vật tư	Đơn vị tính	Số lượng	Ký hiệu nhãn mác	Xuất xứ	Thời gian bảo hành	Đơn giá	Thành tiền
A	Vật tư điện							
1	Aptomat MCB 1P - 20A	Chiếc	40	SC68N/ C1020/ Sino	Việt Nam	12 tháng	65.455	2.618.200
2	Aptomat MCB 1P - 32A	Chiếc	40	SC68N/ C1032/ Sino	Việt Nam	12 tháng	65.455	2.618.200
3	Aptomat MCCB 3 pha - 50A	Chiếc	10	ABN3P-50A/ LS	Việt Nam	12 tháng	64.545	645.450
4	Aptomat 2P MCB - 40A	Chiếc	20	SC68N/ C2040/ Sino	Việt Nam	12 tháng	73.636	1.472.720
5	Máy khoan vít pin 21V	Chiếc	2	DCD700/ Dewalt	Trung Quốc	6 tháng	1.147.272	2.294.544
6	Máy cắt gạch cầm tay	Chiếc	2	YMS-110/ Yamasu	Trung Quốc	6 tháng	940.909	1.881.818
7	Máy khoan điện cầm tay	Chiếc	2	BM 13-750/ / Yamasu	Trung Quốc	6 tháng	780.000	1.560.000
8	Máy cắt sắt bàn 355mm	Chiếc	2	LW1401/ Makita	Trung Quốc	6 tháng	3.318.181	6.636.362
9	Băng dính điện	Cuộn	120	10YDS/ Nanoco	Việt Nam		7.273	872.760
10	Bóng led tube 0.6m	Chiếc	10	T8 TT01 600/10W/ Rạng đông	Việt Nam	12 tháng	54.545	545.450
11	Bóng đèn tròn Led buld 5W	Chiếc	300	A55N4/5W.H/ Rạng đông	Việt Nam	12 tháng	36.363	10.908.900
12	Bóng đèn LED quả nhót	Chiếc	50	A45R/1W/ Rạng đông	Việt Nam	6 tháng	15.455	772.750
13	Đèn LED Panel 30x120/40W	Chiếc	20	P08 300x1200/ 40W/ Rạng đông	Việt Nam	12 tháng	727.273	14.545.460
14	Bóng đèn Panel 60x60/40W	Chiếc	30	P06 600x600/50W/ Rạng đông	Việt Nam	12 tháng	590.909	17.727.270
15	Bóng đèn LED Tuýp T8 1.2m	Chiếc	1.500	T8 1.2m 20W/ Rạng đông	Việt Nam	12 tháng	219.091	328.636.500
16	Bóng đèn LED Âm trần Downlight 110/ 9W	Chiếc	60	AT04 110/9W/ Rạng đông	Việt Nam	12 tháng	113.636	6.818.160
17	Bóng đèn LED Âm trần Downlight	Chiếc	20	AT04 110/12W/ Rạng đông	Việt Nam	12 tháng	113.636	2.272.720
18	Cây ghen nhựa	Máng	250	GA24/ Sino	Việt Nam		20.000	5.000.000
19	Dây điện 2x1.5	Mét	1.000	VCTFK 2x1.5/ Cadisun	Việt Nam	12 tháng	7.273	7.273.000
20	Dây điện 2x2.5	Mét	700	VCTFK 2x2.5/ Cadisun	Việt Nam	12 tháng	12.727	8.908.900
21	Dây điện 2x4	Mét	500	VCTFK 2x4.0/ Cadisun	Việt Nam	12 tháng	20.000	10.000.000
22	Đế nổi	Chiếc	100	CK157RH/ Sino	Việt Nam	6 tháng	3.636	363.600
23	Đế âm	Chiếc	200	S2157/ Sino	Việt Nam	6 tháng	1.818	363.600
24	Đui đèn - đui đèn tròn - xoáy	Chiếc	50	Đui đèn xoáy E27/  Rạng Đông	Việt Nam	6 tháng	10.909	545.450
25	Bình nóng lạnh 50 lít.	Chiếc	10	PRO R50/ Ariston	Việt Nam	12 tháng	3.318.182	33.181.820
26	Thanh đốt bình nóng lạnh 50 lít	Chiếc	100	Ariston	Việt Nam	12 tháng	300.000	30.000.000
27	Dây chống giật bình nóng lạnh 50 lít	Chiếc	100	Ariston	Việt Nam	12 tháng	268.182	26.818.200
28	Rơ - le cọc bình nóng lạnh 50 lít	Chiếc	100	Ariston	Việt Nam	12 tháng	300.000	30.000.000
29	Gioăng cao su chống rò nước bình nóng lạnh 50 lít	Chiếc	100	Ariston	Việt Nam	3 tháng	154.545	15.454.500
30	Bình nóng lạnh 30 lít	Chiếc	5	Ariston Vitaly 30L	Việt Nam	12 tháng	2.090.909	10.454.545
31	Thanh đốt bình nóng lạnh 30 lít	Chiếc	50	Ariston	Việt Nam	12 tháng	281.818	14.090.900
32	Dây chống giật bình nóng lạnh 30 lít	Chiếc	50	Ariston	Việt Nam	12 tháng	254.545	12.727.250
33	Rơ - le bình nóng lạnh 30 lít	Chiếc	50	Ariston	Việt Nam	12 tháng	281.818	14.090.900
34	Gioăng cao su chống rò nước bình nóng lạnh 30 lít	Chiếc	50	Ariston	Việt Nam	3 tháng	150.000	7.500.000
35	Máy sưởi dầu (9 thanh sưởi)	Chiếc	10	TS923/ Tiross	Trung Quốc	12 tháng	1.809.091	18.090.910
36	Quạt sưởi sợi đốt	Chiếc	10	HF-803H 900W/ Saiko	Việt Nam	12 tháng	1.036.364	10.363.640
37	Hạt công tắc đảo chiều 10A	Chiếc	50	S30/1/2M/ Sino	Việt Nam	12 tháng	11.818	590.900
38	Hạt công tắc 20A	Chiếc	80	S30/1/2M/ Sino	Việt Nam	12 tháng	50.000	4.000.000
39	Hạt công tắc 10A	Chiếc	100	S30/1/2M/ Sino	Việt Nam	12 tháng	6.364	636.400
40	Hộp số quạt trần	Chiếc	100	Hộp số quạt trần 1400/ Vinawind	Việt Nam	6 tháng	155.455	15.545.500
